Title,Abstract,Document Type,Region / Country,HDP Tags,Thematic Tags,DAC Recommendation,Affiliations,Authors,Publication Year,Language,Link,Rating,Banner,PDF
Summary of the High-Level workshop on Operationalizing and Financing Collective Outcomes,"The High-Level workshop held on March 8, 2018, in Washington DC, organized by OCHA, UNDP, and the OECD Secretariat, with the World Bank, focused on operationalizing and financing collective outcomes in conflict and fragility contexts.

This workshop aimed to understand how donors can contribute to these outcomes and prepare for the OECD-DAC High-Level Roundtable. Discussions explored modalities for articulating and operationalizing collective outcomes, drawing from experiences in Somalia and Chad. The emphasis was on aligning financing streams across humanitarian, development, climate, and peace sectors to overcome fragmentation, aiming for sustainable solutions.

Key discussions highlighted the importance of transcending internal divides of donors, the necessity of involving bilateral development agencies in planning from the outset, and the absence of an aid structure for implementing collective outcomes. Recommendations included developing guidance or a 'playbook' for bilateral donors to articulate, unpack, finance, and ensure accountability of collective outcomes.",Event Report,"Chad,Somalia","Development,Humanitarian,Peace","Climate,Recovery,Protection,Social Cohesion,Resilience","3. Coordination: Political engagement,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year","Agenda for Humanity, International Network on Conflict and Fragility (INCAF), OCHA, OECD","Agenda for Humanity, OCHA, UNDP",2018,English,https://agendaforhumanity.org/sites/default/files/resources/2018/Sep/Operationalizing_and_Financing_Collective_Outcomes_OECD_UN.pdf,,Summary of the High-Level workshop on Operationalizing and Financing Collective Outcomes.webp,Summary of the High-Level workshop on Operationalizing and Financing Collective Outcomes.pdf
Summary Report: Multi-Stakeholder Regional Workshop on the New Way of Working (Entebbe),"This Agenda for Humanity summary report documents a multi-stakeholder regional workshop on the New Way of Working held in Entebbe, Uganda, bringing together East African humanitarian and development practitioners, policymakers, and donors. 

The workshop focused on how the NWoW can be implemented in East African contexts — including South Sudan, Somalia, DRC, and the Horn of Africa — where protracted crises, displacement, and fragility create significant nexus challenges. It captures regional perspectives on NWoW implementation, identifies context-specific barriers, and records workshop recommendations for advancing more coherent HDP approaches in the region.",Event Report,,"Development,Humanitarian,Peace","Governance,Resilience,Peace & Security","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,9. Programming: Learning and evidence",Agenda for Humanity,Agenda for Humanity,2017,English,https://agendaforhumanity.org/sites/default/files/resources/2018/Apr/Entebbe%20NWOW%20Workshop%20Report%20Final%20Draft.pdf,,Summary Report Multi-Stakeholder Regional Workshop on the New Way of Working (Entebbe).webp,Summary Report- Multi-Stakeholder Regional Workshop on the New Way of Working (Entebbe).pdf
SUN Yemen National Gathering: Towards Sustainable Food and Nutrition Interventions,"This document captures outcomes and key messages from the SUN (Scaling Up Nutrition) Movement's Yemen National Gathering, which brought together humanitarian and development actors, government representatives and civil society to discuss pathways towards sustainable food and nutrition interventions in Yemen's protracted crisis context. 

The gathering focused on how the HDP Nexus can be operationalised through SUN coordination mechanisms to shift nutrition programming from purely emergency response towards prevention-oriented, multisectoral approaches. Key themes include: transitions from humanitarian to development nutrition financing; building national nutrition systems capacity; community-based approaches; and the integration of peace-building dimensions into nutrition programming.",Event Report,Yemen,"Development,Humanitarian,Peace","Food Security & Nutrition,Governance,Resilience,Social Cohesion","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,4. Programming: Prioritising prevention,5. Programming: People at the centre,8. Programming: National and local capacities,9. Programming: Learning and evidence,10. Financing: Develop evidence-based strategies","SUN Movement, N4D, Government of Yemen",,2022,English,https://www.n4d.group/wp-content/uploads/2024/03/SYNG_Final-Report_04-06.June_.2023.pdf,,SUN Yemen National Gathering Towards Sustainable Food and Nutrition Interventions.webp,SUN Yemen National Gathering Towards Sustainable Food and Nutrition Interventions.pdf
"Sustainability of Rural Water Services in the HDP Nexus: A Case Study from Diffa, Niger","This peer-reviewed journal article examines how insecurity in the Diffa region of Niger (Lake Chad Basin, Lake Chad displacement context) affects the sustainability of rural water services in a humanitarian-development-peace triple nexus context. Over 250,000 people have been displaced in Diffa by non-state armed group violence, and substantial humanitarian investment in water infrastructure has addressed immediate needs. However, ongoing insecurity threatens sustainability. 

Using a systems-thinking approach and qualitative assessment methodology, the article finds that insecurity negatively affects all sustainability factors for water services and creates dilemmas for nexus implementation: whether to apply water tariffs, how to ensure durability of infrastructure, and the suitability of community-based management in fragile settings. One of the very few nexus-specific case studies on Niger.",Journal Article,Niger,"Humanitarian,Development,Peace","WASH,Resilience,Conflict Sensitivity,Localisation","6. Programming: Do no harm,7. Programming: Align with risk environment,8. Programming: National and local capacities","International WaterCentre, Griffith University, LM International","Paul Hayes, Ben Fawcett",2024,English,https://www.semanticscholar.org/paper/Sustainability-of-rural-water-services-in-the-a-Hayes-Fawcett/ffa3871f00797ef5cdcfb2a36730327ce4c0fd2a,,"Sustainability of Rural Water Services in the HDP Nexus A Case Study from Diffa, Niger.webp","Sustainability of Rural Water Services in the HDP Nexus A Case Study from Diffa, Niger.pdf"
Sustaining Engagement and Impact in Conflict-Affected Contexts through the World Bank–ICRC Partnership,"This ICRC non-paper (February 2024) reviews the lessons from the World Bank–ICRC partnership established in 2018, and proposes ways to improve delivery in fragility, conflict and violence (FCV) contexts under the IDA21 framework. The partnership — renewed through a 2024 Operational Framework Agreement — enables direct World Bank financing of ICRC operations where governments cannot implement.

The paper focuses on three action areas: sharing knowledge to better understand conflict dynamics; navigating the complexities of de facto government situations; and increasing support for the hardest-to-reach affected populations. It argues for more flexible World Bank engagement criteria in FCV settings, and contributes to systemic debates about how development institutions can operate across the HDP nexus without compromising humanitarian principles. A landmark document on MDB-humanitarian institution partnership design.",Report,,"Humanitarian,Development","Financing,Coordination,Policy & Strategy",6. Programming: Do no harm,"International Committee of the Red Cross (ICRC), World Bank",ICRC,2024,English,https://www.icrc.org/en/publication/4751-sustaining-engagement-and-impact-conflict-affected-contexts-through-world-bank-icrc,,Sustaining Engagement and Impact in Conflict-Affected Contexts through the World Bank–ICRC Partnership.webp,Sustaining Engagement and Impact in Conflict-Affected Contexts through the World Bank–ICRC Partnership.pdf
Synthesis and meta-analysis of findings from crisis-specific inter-agency humanitarian evaluations (2015-2025),"Pulls together findings from seven interagency evaluations to highlight systemic challenges and best practices in achieving collective outcomes across the HDP nexus. Usefulness/New Knowledge: A definitive decade-in-review synthesis that aggregates data across multiple crises, serving as a baseline for future evidence-based strategies.

The IAHE Synthesis exercise pulls together the findings from seven interagency humanitarian evaluations (IAHEs) covering nine different contexts spanning 2015 – 2025:

    Mozambique Cyclone Idai (2019),
    Ethiopia drought (2015-2018),
    Yemen (2015-2021),
    Afghanistan (2021-2023),
    Northern Ethiopia conflict (2021-2023),
    Somalia drought (2022-2024), and
    Türkiye/Syria Earthquake (2023-2025).

It also presents a meta-analysis of issues that arise from reading across the evaluations and suggests recommendations that stem from the findings.",Evaluation,"Afghanistan,Eritrea,Mozambique,Somalia,Syria,Yemen","Humanitarian,Development,Peace","Resilience,Governance","1. Coordination: Joint analysis,9. Programming: Learning and evidence",IAHE,IAHE,2026,English,https://alnap.org/help-library/resources/synthesis-and-meta-analysis-of-findings-from-crisis-specific-inter-agency-humanitarian-evaluations-covering-the-period-2015-2025/,,Synthesis and meta-analysis of findings from crisis-specific inter-agency humanitarian evaluations (2015-2025).webp,Synthesis and meta-analysis of findings from crisis-specific inter-agency humanitarian evaluations (2015-2025).pdf
Syrian Arab Republic: Emergency and Resilience Plan 2026–2028,"This FAO Emergency and Resilience Plan (2026–2028) for Syria sets out FAO's operational framework for agricultural and food security response in one of the world's most protracted crisis contexts. It applies the HDP nexus approach to link immediate food emergency response with longer-term agricultural resilience, livelihoods recovery, and food system stabilisation.

Syria's combination of active conflict, post-conflict recovery, economic collapse, and climate stress makes it an important test case for integrated nexus programming. The plan provides a detailed operational roadmap with collective outcomes, financing requirements, and multi-partner coordination arrangements across the three nexus pillars.",Report,Syria,"Humanitarian,Development","Food Security & Nutrition,Resilience,Coordination,Financing","7. Programming: Align with risk environment,10. Financing: Develop evidence-based strategies,1. Coordination: Joint analysis",FAO,FAO,2026,English,https://openknowledge.fao.org/items/f64e2487-1557-4ce9-bf39-7865fd857b0f,,Syrian Arab Republic Emergency and Resilience Plan 2026–2028.webp,Syrian Arab Republic Emergency and Resilience Plan 2026–2028.pdf
Terms of Reference for the Joint Steering Committee to Advance Humanitarian and Development Collaboration,"This document sets out the Terms of Reference for the Joint Steering Committee (JSC) to Advance Humanitarian and Development Collaboration, established by the UN Secretary-General in December 2017. The JSC is chaired by the Deputy Secretary-General and co-led by the Emergency Relief Coordinator and the UNDP Administrator, reflecting the commitment at the highest levels of the UN to operationalise the humanitarian-development nexus.

The ToR defines the JSC's mandate, objectives, composition, governance, responsibilities and working modalities, including its role in overseeing the implementation of the 'New Way of Working' and collective outcomes, and in driving system-wide changes to overcome humanitarian-development silos in the UN system.",Other,,"Development,Humanitarian",Governance,"1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement,11. Financing: Predictable flexible multi-year",United Nations,,2018,English,https://www.un.org/jsc/sites/www.un.org.jsc/files/general/tors_of_the_jsc.pdf,,Terms of Reference for the Joint Steering Committee to Advance Humanitarian and Development Collaboration.webp,Terms of Reference for the Joint Steering Committee to Advance Humanitarian and Development Collaboration.pdf
Terms of Reference: Iraq Durable Solutions Task Force (DSTF),"Terms of Reference for a strategic level HDP Nexus working group, centered around Durable Solutions to Displacement. 
To use as an example for draft ToRs.",Terms of Reference,Iraq,"Humanitarian,Development,Peace",Displacement & Migration,"1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement",DSTF,,2022,English,,,,Terms of Reference Iraq Durable Solutions Task Force (DSTF).pdf
Terms of Reference: Iraq Durable Solutions Technical Working Group (DSTWG),"Terms of Reference for a technical level HDP Nexus working group, centered around Durable Solutions to Displacement. 
To use as an example for draft ToRs.",Terms of Reference,Iraq,"Humanitarian,Development,Peace",Displacement & Migration,"3. Coordination: Political engagement,2. Coordination: Empowered leadership,1. Coordination: Joint analysis",DSTWG,DSTWG,2022,English,,,,Terms of Reference Iraq Durable Solutions Technical Working Group (DSTWG).pdf
Terms of Reference: National HDP Nexus Task Force in Cameroon,"Terms of reference for a national level HDP Nexus working group. 
To use as an example for draft ToRs.",Terms of Reference,Cameroon,"Humanitarian,Development,Peace",,"1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement",National HDP Nexus Task Force in Cameroon,,2024,English,,,,Terms of reference NTF-HDPN-oct1124final.docx
"Terms of Reference: Regional Taskforce HDP Nexus  in Eastern Facade (North, Adamaoua, East Regions)","Terms of reference for a local level HDP Nexus working group. 
To use as an example for draft ToRs.",Terms of Reference,Democratic Republic of the Congo,"Humanitarian,Development,Peace",,"1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement",UNHCR,,,"English,French",,,,Terms of reference - HDPN-Eastern Facade.docx
Terms of Reference: Yemen Partner Group,"Terms of Reference of a strategic, donor-driven, HDP Nexus working group. To use as an example for draft ToRs.",Terms of Reference,Yemen,"Humanitarian,Development,Peace",,"2. Coordination: Empowered leadership,1. Coordination: Joint analysis,3. Coordination: Political engagement",Yemen Partner Group,,2022,English,,,,Terms of Reference Yemen Partner Group.pdf
Terms of Reference: Yemen Partner Technical Team,"Terms of Reference of a technical level donor-driven, HDP Nexus working group. To use as an example for draft ToRs.",Terms of Reference,Yemen,"Humanitarian,Development,Peace",,"3. Coordination: Political engagement,2. Coordination: Empowered leadership,1. Coordination: Joint analysis",Yemen Partner Technical Team,,2022,English,,,,Terms of Reference Yemen Partner Technical Team.pdf
The 'humanitarian anchor': A social economy approach to assistance in protracted displacement situations,"This paper explores a social economy approach to humanitarian assistance in protracted displacement situations, advocating for cooperative modes of production to integrate humanitarian actions with development goals. It critiques market-led responses and traditional humanitarian interventions, proposing an innovative model called the 'humanitarian anchor'. This concept involves leveraging anchor institutions, typically large procurers of goods and services like international NGOs, to create a community investment fund. This fund supports worker-owned cooperatives that supply goods and services tailored to humanitarian needs.

The paper highlights the potential benefits in terms of economic and social impacts, such as poverty alleviation, social cohesion, and diminished tensions between host and displaced communities. However, it acknowledges political and logistical challenges, particularly in adapting procurement practices and overcoming skepticism from host governments regarding refugee rights and market access. The paper calls for a shift from traditional aid frameworks to those emphasizing infrastructural investment and community ownership.",Report,Iraq,"Development,Humanitarian","Livelihoods,Social Cohesion,Economic Development,Displacement & Migration,Resilience","7. Programming: Align with risk environment,5. Programming: People at the centre,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies",Humanitarian Policy Group,Tahir Zaman,2018,English,https://media.odi.org/documents/12203.pdf,,The 'humanitarian anchor' A social economy approach to assistance in protracted displacement situations.webp,The 'humanitarian anchor' A social economy approach to assistance in protracted displacement situations.pdf
The Challenges of Research in the Humanitarian Sector: An Evolving Relationship,"This article examines the evolving relationship between the humanitarian sector and academic research, highlighting the importance and challenges of integrating scientific research into humanitarian practices. Over the past two decades, humanitarian organizations have increasingly sought to collaborate with researchers to improve their effectiveness and accountability. 

The French Red Cross Foundation, established in 2013, exemplifies this trend, supporting over 120 research projects focused on key issues like migration, health, and disaster management. The article discusses collaborative models such as 'social interaction' for effective knowledge transfer and reports on the experiences and methodologies of the Foundation, including initiatives like the Bénévo'Lab and APRIS workshops. Despite progress, challenges persist, such as operational access, funding, ethical concerns, and the inclusion of local researchers. 

The authors emphasize the need for continued collaboration between humanitarian organizations and academia to address current and future crises more effectively.",Journal Article,,Humanitarian,"Health,Disaster Risk Reduction,Social Cohesion,Displacement & Migration,Governance","7. Programming: Align with risk environment,8. Programming: National and local capacities,2. Coordination: Empowered leadership",International Review of the Red Cross,"Camille Raillon, Julien Antouly, Vincent Leger, Virginie Triot",2024,English,https://www.cambridge.org/core/journals/international-review-of-the-red-cross/article/challenges-of-research-in-the-humanitarian-sector-an-evolving-relationship/391792B7143505A4AA4E490815605F66,,The Challenges of Research in the Humanitarian Sector An Evolving Relationship.webp,The Challenges of Research in the Humanitarian Sector An Evolving Relationship.pdf
The choice of pragmatism: A critical review of People In Need's greening approach,"This ALNAP review provides a critical analysis of People In Need (PIN)'s organisational approach to integrating environmental sustainability — or 'greening' — into its humanitarian and development programming. As climate change increasingly intersects with the humanitarian-development-peace nexus, with climate shocks driving displacement, food insecurity, and conflict, environmental integration has become an urgent priority for international organisations.

PIN's approach offers a case study in how an INGO has navigated the practical, institutional and cultural challenges of embedding environmental considerations into existing programme design, implementation, and monitoring systems.

The review critically assesses what PIN has achieved, where implementation has fallen short of ambition, and what 'pragmatic' choices have been made in balancing environmental integrity with operational practicality. It provides lessons for other organisations seeking to green their operations and programmes, with particular attention to the tensions between short-term humanitarian imperatives and longer-term environmental sustainability goals.",Report,,"Humanitarian,Development","Environment,Climate","6. Programming: Do no harm,9. Programming: Learning and evidence",People In Need,Groupe URD,2026,English,https://alnap.org/help-library/resources/the-choice-of-pragmatism-a-critical-review-of-people-in-needs-greening-approach/,,The choice of pragmatism A critical review of People In Need's greening approach.webp,The choice of pragmatism A critical review of People In Need's greening approach.pdf
The Development-Peace Nexus: Experiences and Findings,"The report from the Peace Research Institute Frankfurt explores the intricate relationship between development and peace, identifying areas where current policy implementations have fallen short. A consensus exists that peace and development are mutually reinforcing, yet the nexus is often narrowly applied in practice, focusing more on stabilization rather than transformative development. Key factors like socioeconomic development and political inclusion are necessary for sustaining peace, but local and interpersonal violence remain under-addressed.

Policy tends to prioritize reactionary measures rather than preventive strategies, neglecting the complexities of different conflict forms, including geographic and interpersonal violence. The authors argue that a broader understanding and application of the nexus are needed, taking into account context-specific challenges and promoting inclusive strategies that involve local actors and address both major conflicts and localized violence effectively.",Report,"Brazil,Colombia,Ecuador","Development,Peace","Protection,Peace & Security,Economic Development,Social Cohesion,Governance","5. Programming: People at the centre,4. Programming: Prioritising prevention,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies",Peace Research Institute Frankfurt,"Anton Peez, Antonia Witt, Ben Christian, Felix Bethke, Jens Stappenbeck, Jonas Wolff, Julian Junk, Melanie Coni-Zimmer, Simone Schnabel, Sophia Birchinger",2020,English,https://www.jstor.org/stable/resrep24494.6?seq=1,,The Development-Peace Nexus Experiences and Findings.webp,The Development-Peace Nexus Experiences and Findings.pdf
The Durable Solutions Initiative in Somalia: Evaluation Report,"This evaluation report assesses the Somalia Durable Solutions Initiative (DSI), launched in early 2016, which brought together the Federal Government of Somalia, UN agencies, donors, and NGOs to advance a coordinated approach to ending displacement. 

The report examines the DSI's effectiveness in creating an enabling policy environment, establishing the Durable Solutions Secretariat within Somalia's Ministry of Planning, and embedding durable solutions into national development priorities. It analyses the multi-donor-funded consortia approach (including Danwadaag and EU RE-INTEG programmes), capacity development efforts, and the financing landscape. Key lessons address the transition from humanitarian to development financing, government ownership, and the challenges of area-based programming in fragile contexts.",Report,Somalia,"Development,Humanitarian,Peace","Displacement & Migration,Resilience,Governance,Livelihoods,Social Cohesion","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,5. Programming: People at the centre,8. Programming: National and local capacities,9. Programming: Learning and evidence,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year","Regional Durable Solutions Secretariat (ReDSS), Danwadaag Consortium",,2022,English,https://www.aramis.admin.ch/Default?DocumentID=67514&Load=true,,The Durable Solutions Initiative in Somalia Evaluation Report.webp,The Durable Solutions Initiative in Somalia Evaluation Report.pdf
The EU Member states' implementation of the Humanitarian-Development-Peace Nexus,"This report published by VOICE focuses on how the EU Member States are operationalizing the Humanitarian-Development-Peace (HDP) Nexus, exploring national initiatives from countries such as Italy, Denmark, Germany, Sweden, and Finland. It highlights the evolving nature of humanitarian crises driven by factors like the COVID-19 pandemic, climate change, and protracted conflicts, resulting in increasing humanitarian needs and funding challenges.

The European Commission and EU Member States seek to strengthen the HDP nexus to tackle root causes of crises. Concerns about the implementation of the Nexus approach include potential impacts on humanitarian principles and risks of politicizing aid. The report underscores the importance of joint conflict-sensitive analysis, flexible funding, and local engagement and discusses how different countries are approaching Nexus implementation with varied success and challenges. 

The document calls for more predictable, flexible financing strategies and emphasizes respecting humanitarian principles while integrating peacebuilding efforts.",Report,"Afghanistan,Democratic Republic of the Congo","Development,Humanitarian,Peace","Climate,Gender,Recovery,Peace & Security,Disaster Risk Reduction,Economic Development,Livelihoods,Food Security & Nutrition,Protection,Social Cohesion,Governance,Resilience","5. Programming: People at the centre,4. Programming: Prioritising prevention,8. Programming: National and local capacities,3. Coordination: Political engagement,2. Coordination: Empowered leadership,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year",VOICE,VOICE,2021,English,https://voiceeu.org/publications/voice-out-loud-32-the-eu-member-states-implementation-of-the-humanitarian-development-peace-nexus.pdf,,The EU Member states' implementation of the Humanitarian-Development-Peace Nexus.webp,The EU Member states' implementation of the Humanitarian-Development-Peace Nexus.pdf
"The European Union Humanitarian-Development Nexus, Recommendations from the Red Cross, EU Office and the ICRC","This paper, prepared by the Red Cross EU Office and ICRC, discusses the Humanitarian-Development Nexus in the EU context and provides critical recommendations for operationalising this approach. 

The Nexus aims to address prolonged humanitarian crises by bridging humanitarian aid and development cooperation, which have traditionally been separated. Emphasizing complex emergencies, the EU is urged to maintain a needs-based approach that respects humanitarian principles and international laws. Recommendations include ensuring civil society engagement, fostering local resilience, applying context-specific programming, and maintaining distinct budgets for humanitarian and development efforts. 

Additionally, the paper highlights the importance of flexible, multi-year funding and integrating lessons learned to improve future projects. The Nexus approach aligns with global initiatives to enhance collaboration between humanitarian and development actors to address massive displacement and crises more effectively.",Policy Paper,"Chad,Iraq","Development,Humanitarian","Protection,Social Cohesion,Displacement & Migration,Governance,Resilience","7. Programming: Align with risk environment,1. Coordination: Joint analysis,11. Financing: Predictable flexible multi-year","ICRC, Red Cross EU office","ICRC, Red Cross EU office",2018,English,https://redcross.eu/positions-publications/the-eu-humanitarian-development-nexus,,"The European Union Humanitarian-Development Nexus, Recommendations from the Red Cross, EU Office and the ICRC.webp","The European Union Humanitarian-Development Nexus, Recommendations from the Red Cross, EU Office and the ICRC.pdf"
"The Global Fund Sustainability, Transition and Cofinancing Policy","This document examines the nexus between sustainability transitions and co-financing mechanisms in humanitarian and development contexts. It explores how different financing instruments — including concessional financing, pooled funds, and development finance — can be better leveraged to support the sustainability of humanitarian-to-development transitions.

The paper addresses the challenge of moving from short-term humanitarian funding cycles to longer-term development investment models in contexts of protracted crisis and fragility, with particular attention to mechanisms that enable the inclusion of displaced populations in national systems and multi-year, flexible financing arrangements.",Policy Brief,,"Development,Humanitarian","Resilience,Economic Development,Displacement & Migration,Governance","10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year,9. Programming: Learning and evidence",,,2023,English,https://www.theglobalfund.org/en/sustainability-transition-and-co-financing/,,"The Global Fund Sustainability, Transition and Cofinancing Policy.webp","The Global Fund Sustainability, Transition and Cofinancing Policy.pdf"
The Grand Bargain - A Shared Commitment to Better Serve People in Need,"The report outlines an initiative aimed at enhancing global humanitarian efforts through improved coordination, efficiency, and resource allocation. Key focus areas include increasing transparency, supporting local responders, utilizing cash-based programming, reducing management costs, and conducting impartial needs assessments.

The Grand Bargain advocates for collaboration across the humanitarian ecosystem, involving diverse stakeholders such as government bodies, NGOs, and the private sector. This initiative seeks to optimize resources and facilitate a shift from a supply-driven model to a demand-driven one, centered around beneficiaries' needs. It also emphasizes multi-year planning and funding, reducing earmarking of contributions, and simplifying reporting requirements to maximize funds' efficacy.

The report sets global targets to measure success and calls for a participatory approach, incorporating feedback from affected communities in the decision-making process to ensure better humanitarian outcomes.",Report,,"Development,Humanitarian,Peace","Climate,Disaster Risk Reduction,Economic Development,Social Cohesion,Protection,Displacement & Migration,Governance,Resilience","5. Programming: People at the centre,4. Programming: Prioritising prevention,8. Programming: National and local capacities,3. Coordination: Political engagement,1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year",OCHA,OCHA,2016,English,https://reliefweb.int/report/world/grand-bargain-shared-commitment-better-serve-people-need,,The Grand Bargain - A Shared Commitment to Better Serve People in Need.webp,The Grand Bargain - A Shared Commitment to Better Serve People in Need.pdf
The Grand Bargain in 2022: An Independent Review,"Independent review of progress on the Grand Bargain — the package of commitments agreed at the 2016 World Humanitarian Summit by a coalition of major donors, UN agencies and international NGOs — covering the 2022 implementation year. Examines progress across 15 workstreams including localisation, multi-year funding, cash programming and reduced earmarking, assessing where signatories are advancing or stalling on commitments that are directly relevant to the humanitarian-development nexus. Provides a candid, evidence-based assessment of the reform agenda's trajectory and the structural barriers preventing faster progress on financing flexibility and burden-sharing.",Evaluation,,"Humanitarian,Development","Financing,Coordination,Localisation,Policy & Strategy","9. Programming: Learning and evidence,11. Financing: Predictable flexible multi-year","Humanitarian Policy Group (HPG), ODI","Victoria Metcalfe-Hough, Wendy Fenton, Farah Manji",2023,English,https://media.odi.org/documents/HPG_report-Grand_Bargain_2023_master_rev.pdf,,The Grand Bargain in 2022 An Independent Review.webp,The Grand Bargain in 2022 An Independent Review.pdf
The HDP Nexus as a Key Pathway to Food Security: Evidence from Ethiopia and Madagascar,"This research communication brief (October 2025), adapted from a full report prepared by the Keough School of Global Affairs Integration Lab for Catholic Relief Services (CRS), presents evidence from HDP nexus programming on food security outcomes in Ethiopia (East Hararghe/Babile Woreda, 12 villages surveyed July 2024) and Madagascar. It examines how integrated HDP programming affects dietary diversity, coping strategies, and social cohesion, finding that while improvements in food consumption and hunger are real, they remain fragile where drought and infrastructure deficits persist. Recommends tailoring activities to local needs, timely delivery, and robust monitoring. Provides rare quantitative outcome evidence from nexus food security programming in Ethiopia and Madagascar.",Policy Brief,"Ethiopia,Madagascar","Humanitarian,Development,Peace","Food Security & Nutrition,Social Cohesion,Resilience,Learning & Evidence","9. Programming: Learning and evidence,5. Programming: People at the centre,4. Programming: Prioritising prevention","Catholic Relief Services (CRS), Keough School of Global Affairs","Emmanuel Gyasi, Beverly Ndifoin, Ximena Hernandez, Tanner DeBoer",2025,English,https://www.crs.org/sites/default/files/documents/2025-10/ILab%20Communication%20Brief%20Sep%2030%20FINAL.pdf,,The HDP Nexus as a Key Pathway to Food Security Evidence from Ethiopia and Madagascar.webp,The HDP Nexus as a Key Pathway to Food Security Evidence from Ethiopia and Madagascar.pdf
The HDP Nexus at the Onset of Crisis: Can Local Actors Lead the Way?,"This Global Policy journal contribution examines a critical but often overlooked dimension of HDP nexus implementation: how the nexus can and should operate at the very onset of a crisis, when needs are immediate and acute, institutional arrangements are being established, and the conditions for longer-term nexus engagement are being determined.

The author argues that the nexus is too often treated as a post-emergency framework, with humanitarian actors focusing on immediate response and nexus approaches coming later, after the crisis has stabilised. This misses a crucial window: the decisions made at the onset of a crisis about coordination structures, financing, programming modalities, and actor engagement fundamentally shape whether a nexus approach is feasible later.

The piece examines whether local actors — often the first responders — can and should be positioned to lead nexus approaches from the outset, rather than waiting for international coordination mechanisms to establish themselves, and what this requires from international actors in terms of pre-positioned partnerships, flexible financing, and genuine commitment to local leadership.",Article,"Chad,Iraq,Uganda,South Sudan,Syria","Humanitarian,Development,Peace","Governance,Resilience","8. Programming: National and local capacities,5. Programming: People at the centre",Global Policy Journal,Aleix S. Porras Cantons,2025,English,https://www.globalpolicyjournal.com/blog/24/09/2025/hdp-nexus-onset-crisis-can-local-actors-lead-way,,The HDP Nexus at the Onset of Crisis Can Local Actors Lead the Way.webp,The HDP Nexus at the Onset of Crisis Can Local Actors Lead the Way.pdf
The High-Level Independent Panel on UN Peace Operations,"The policy paper discusses the advancements and challenges faced by UN peace operations. Initiated by UN Secretary-General Ban Ki-moon in June 2014, the review focuses on four key aspects: the absence of peace in operating areas, non-viable political processes, asymmetrical threats, and the Security Council\'s renewed commitment to peacekeeping.

The High-Level Independent Panel, led by Nobel laureate Jose Ramos Horta, includes representatives from various countries, aiming to create regional balance. The panel is to produce recommendations by June 2015. Innovations in peacekeeping mandates, such as the Force Intervention Brigade and new technologies, prompt questions on UN's capability and the limits of peacekeeping. There is emphasis on integrating gender perspectives, protecting civilians, and linking peacekeeping with peacebuilding. Despite recent contractions due to economic factors, demand for peacekeeping has increased.

Key challenges include consensus on policy, accountability, and operational planning. The panel aims to consult widely and align its work with other UN reform processes, addressing issues like recurring instability and weak governance.",Policy Paper,"Bangladesh,Brazil,Burundi,Ghana,India",Peace,"Gender,Protection,Governance,Peace & Security","7. Programming: Align with risk environment,4. Programming: Prioritising prevention,8. Programming: National and local capacities,2. Coordination: Empowered leadership",Norwegian Institute of International Affairs (NUPI),Mateja Peter,2015,English,https://www.nupi.no/en/publications/cristin-pub/the-high-level-independent-panel-on-un-peace-operations,,The High-Level Independent Panel on UN Peace Operations.webp,The High-Level Independent Panel on UN Peace Operations.pdf
